lambda_nm,intensity
6.703440551757812500e+02,8.312007412314414978e-03
6.701203613281250000e+02,6.632904522120952606e-03
6.698966674804687500e+02,3.575296141207218170e-03
6.696729736328125000e+02,4.438858479261398315e-03
6.694493408203125000e+02,6.604216527193784714e-03
6.692256469726562500e+02,6.417881697416305542e-03
6.690019531250000000e+02,7.125848904252052307e-03
6.687782592773437500e+02,8.232236839830875397e-03
6.685545654296875000e+02,8.134190924465656281e-03
6.683308715820312500e+02,7.952504791319370270e-03
6.681071777343750000e+02,7.017655763775110245e-03
6.678835449218750000e+02,5.445037037134170532e-03
6.676598510742187500e+02,5.653221160173416138e-03
6.674361572265625000e+02,7.509759627282619476e-03
6.672124633789062500e+02,8.457214571535587311e-03
6.669887695312500000e+02,7.796110119670629501e-03
6.667650756835937500e+02,6.925909314304590225e-03
6.665413818359375000e+02,7.158436346799135208e-03
6.663177490234375000e+02,8.043648675084114075e-03
6.660940551757812500e+02,8.371668867766857147e-03
6.658703613281250000e+02,8.627786301076412201e-03
6.656466674804687500e+02,8.026344701647758484e-03
6.654229736328125000e+02,5.771641153842210770e-03
6.651992797851562500e+02,4.672349896281957626e-03
6.649755859375000000e+02,6.262850482016801834e-03
6.647519531250000000e+02,7.463282905519008636e-03
6.645282592773437500e+02,6.320795509964227676e-03
6.643045654296875000e+02,6.727061700075864792e-03
6.640808715820312500e+02,7.910914719104766846e-03
6.638571777343750000e+02,7.154434919357299805e-03
6.636334838867187500e+02,5.728178191930055618e-03
6.634097900390625000e+02,6.452458910644054413e-03
6.631861572265625000e+02,7.526332978159189224e-03
6.629624633789062500e+02,8.202375844120979309e-03
6.627387695312500000e+02,7.818090729415416718e-03
6.625150756835937500e+02,5.518868099898099899e-03
6.622913818359375000e+02,4.911771975457668304e-03
6.620676879882812500e+02,5.145508795976638794e-03
6.618439941406250000e+02,5.256108008325099945e-03
6.616203613281250000e+02,5.089743528515100479e-03
6.613966674804687500e+02,4.795574117451906204e-03
6.611729736328125000e+02,4.931638017296791077e-03
6.609492797851562500e+02,4.872726742178201675e-03
6.607255859375000000e+02,4.998002666980028152e-03
6.605018920898437500e+02,6.066224537789821625e-03
6.602781982421875000e+02,6.797565147280693054e-03
6.600545654296875000e+02,6.022552028298377991e-03
6.598308715820312500e+02,5.004105158150196075e-03
6.596071777343750000e+02,5.687688477337360382e-03
6.593834838867187500e+02,6.847021169960498810e-03
6.591597900390625000e+02,6.976211443543434143e-03
6.589360961914062500e+02,7.207527291029691696e-03
6.587124023437500000e+02,7.785972207784652710e-03
6.584887695312500000e+02,7.937089540064334869e-03
6.582650756835937500e+02,8.455860428512096405e-03
6.580413818359375000e+02,9.037930518388748169e-03
6.578176879882812500e+02,9.456007741391658783e-03
6.575939941406250000e+02,9.727278724312782288e-03
6.573703002929687500e+02,9.285050444304943085e-03
6.571466064453125000e+02,8.918391540646553040e-03
6.569229736328125000e+02,8.941925130784511566e-03
6.566992797851562500e+02,8.941925130784511566e-03
