lambda_nm,intensity
6.442057495117187500e+02,1.922217383980751038e-02
6.444554443359375000e+02,1.884863339364528656e-02
6.447052001953125000e+02,1.940724253654479980e-02
6.449548950195312500e+02,1.927685178816318512e-02
6.452046508789062500e+02,1.823925413191318512e-02
6.454543457031250000e+02,1.889419369399547577e-02
6.457041015625000000e+02,1.861058175563812256e-02
6.459538574218750000e+02,1.830909214913845062e-02
6.462035522460937500e+02,2.076698839664459229e-02
6.464532470703125000e+02,2.157588861882686615e-02
6.467030029296875000e+02,2.155932225286960602e-02
6.469527587890625000e+02,2.149617299437522888e-02
6.472024536132812500e+02,2.147357352077960968e-02
6.474521484375000000e+02,2.143138833343982697e-02
6.477019042968750000e+02,2.153582312166690826e-02
6.479516601562500000e+02,2.148841321468353271e-02
6.482013549804687500e+02,2.055863849818706512e-02
6.484510498046875000e+02,2.041041292250156403e-02
6.487008056640625000e+02,2.070544101297855377e-02
6.489505615234375000e+02,1.901246793568134308e-02
6.492002563476562500e+02,1.950012147426605225e-02
6.494499511718750000e+02,2.119368687272071838e-02
6.496997070312500000e+02,2.114415355026721954e-02
6.499494628906250000e+02,2.153450436890125275e-02
6.501991577148437500e+02,2.157193794846534729e-02
6.504488525390625000e+02,2.106608264148235321e-02
6.506986083984375000e+02,2.133340574800968170e-02
6.509483642578125000e+02,2.026190608739852905e-02
6.511980590820312500e+02,2.051401138305664062e-02
6.514478149414062500e+02,2.177459932863712311e-02
6.516975097656250000e+02,2.159981057047843933e-02
6.519472656250000000e+02,2.139017172157764435e-02
6.521970214843750000e+02,2.136954851448535919e-02
6.524467163085937500e+02,2.126163616776466370e-02
6.526964111328125000e+02,2.176356315612792969e-02
6.529461669921875000e+02,2.248017489910125732e-02
6.531959228515625000e+02,2.282888442277908325e-02
6.534456176757812500e+02,2.282085083425045013e-02
6.536953125000000000e+02,2.253976278007030487e-02
6.539450683593750000e+02,2.206872589886188507e-02
6.541948242187500000e+02,2.262471430003643036e-02
6.544445190429687500e+02,2.307527139782905579e-02
6.546942138671875000e+02,2.376276627182960510e-02
6.549439697265625000e+02,2.355131320655345917e-02
6.551937255859375000e+02,2.319321222603321075e-02
6.554434204101562500e+02,2.353493496775627136e-02
6.556931152343750000e+02,2.490193583071231842e-02
6.559428710937500000e+02,2.554231323301792145e-02
6.561926269531250000e+02,2.439939044415950775e-02
6.564423217773437500e+02,2.424864284694194794e-02
6.566920166015625000e+02,2.503900602459907532e-02
6.569417724609375000e+02,2.479161694645881653e-02
6.571915283203125000e+02,2.518028207123279572e-02
6.574412231445312500e+02,2.568242885172367096e-02
6.576909790039062500e+02,2.595816552639007568e-02
6.579406738281250000e+02,2.495087869465351105e-02
6.581904296875000000e+02,2.391722612082958221e-02
6.584401855468750000e+02,2.439359575510025024e-02
6.586898803710937500e+02,2.510534040629863739e-02
6.589395751953125000e+02,2.599285170435905457e-02
6.591893310546875000e+02,3.001853823661804199e-02
6.594390258789062500e+02,3.129865974187850952e-02
6.596887817382812500e+02,2.742639929056167603e-02
6.599384765625000000e+02,2.686201408505439758e-02
6.601882324218750000e+02,2.712787687778472900e-02
6.604379882812500000e+02,2.650145255029201508e-02
6.606876831054687500e+02,2.752206474542617798e-02
6.609373779296875000e+02,2.792896330356597900e-02
6.611871337890625000e+02,2.806597203016281128e-02
6.614368896484375000e+02,2.816801145672798157e-02
6.616865844726562500e+02,2.805372513830661774e-02
6.619362792968750000e+02,2.905239909887313843e-02
6.621860351562500000e+02,2.961407229304313660e-02
6.624357910156250000e+02,2.926925383508205414e-02
6.626854858398437500e+02,3.025665692985057831e-02
6.629351806640625000e+02,3.172844275832176208e-02
6.631849365234375000e+02,3.213459253311157227e-02
6.634346923828125000e+02,3.078626841306686401e-02
6.636843872070312500e+02,2.970752678811550140e-02
