lambda_nm,intensity
6.469764404296875000e+02,1.082429382950067520e-02
6.467526855468750000e+02,1.060924120247364044e-02
6.465289306640625000e+02,1.101232599467039108e-02
6.463051757812500000e+02,1.165519841015338898e-02
6.460814208984375000e+02,1.258632820099592209e-02
6.458576660156250000e+02,1.180356368422508240e-02
6.456339111328125000e+02,1.295019220560789108e-02
6.454101562500000000e+02,1.368222106248140335e-02
6.451864013671875000e+02,1.399206556379795074e-02
6.449626464843750000e+02,1.397030707448720932e-02
6.447388916015625000e+02,1.284391153603792191e-02
6.445151367187500000e+02,1.111787743866443634e-02
6.442913818359375000e+02,1.210426166653633118e-02
6.440676269531250000e+02,1.332498621195554733e-02
6.438438720703125000e+02,1.184095256030559540e-02
6.436201171875000000e+02,1.159104611724615097e-02
6.433963623046875000e+02,1.379549875855445862e-02
6.431726074218750000e+02,1.397884264588356018e-02
6.429488525390625000e+02,1.372243929654359818e-02
6.427250976562500000e+02,1.308957114815711975e-02
6.425013427734375000e+02,1.342810597270727158e-02
6.422775878906250000e+02,1.469596102833747864e-02
6.420538330078125000e+02,1.327075343579053879e-02
6.418300781250000000e+02,1.315752230584621429e-02
6.416063232421875000e+02,1.540659554302692413e-02
6.413825683593750000e+02,1.582316495478153229e-02
6.411588134765625000e+02,1.632871292531490326e-02
6.409350585937500000e+02,1.624411344528198242e-02
6.407113037109375000e+02,1.561033353209495544e-02
6.404875488281250000e+02,1.418927591294050217e-02
6.402637939453125000e+02,1.609260588884353638e-02
6.400400390625000000e+02,1.700328290462493896e-02
6.398162841796875000e+02,1.594934053719043732e-02
6.395925292968750000e+02,1.592991501092910767e-02
6.393687744140625000e+02,2.028106153011322021e-02
6.391450195312500000e+02,2.033085748553276062e-02
6.389212646484375000e+02,1.925472542643547058e-02
6.386975097656250000e+02,1.866227388381958008e-02
6.384737548828125000e+02,1.923817209899425507e-02
6.382500000000000000e+02,1.929521560668945312e-02
6.380262451171875000e+02,2.441811189055442810e-02
6.378024902343750000e+02,2.340315654873847961e-02
6.375787353515625000e+02,2.813393436372280121e-02
6.373549804687500000e+02,3.440876677632331848e-02
6.371312255859375000e+02,2.052228897809982300e-01
6.369074707031250000e+02,3.512238860130310059e-01
6.366837158203125000e+02,5.775194168090820312e-01
6.364599609375000000e+02,5.664625763893127441e-01
6.362362060546875000e+02,4.761480987071990967e-01
6.360124511718750000e+02,4.042814075946807861e-01
6.357886962890625000e+02,2.569946944713592529e-01
6.355649414062500000e+02,2.076727002859115601e-01
6.353411865234375000e+02,8.019464462995529175e-02
6.351174316406250000e+02,6.663917005062103271e-02
6.348936767578125000e+02,3.969680517911911011e-02
6.346699218750000000e+02,3.650021925568580627e-02
6.344461669921875000e+02,2.585515752434730530e-02
6.342224121093750000e+02,2.337691001594066620e-02
6.339986572265625000e+02,1.953450962901115417e-02
6.337749023437500000e+02,1.942805945873260498e-02
6.335511474609375000e+02,1.815462671220302582e-02
6.333273925781250000e+02,1.722726598381996155e-02
6.331036376953125000e+02,1.643870398402214050e-02
6.328798828125000000e+02,1.650573126971721649e-02
6.326561279296875000e+02,1.638004370033740997e-02
6.324323730468750000e+02,1.655056886374950409e-02
6.322086181640625000e+02,1.472703553736209869e-02
6.319848632812500000e+02,1.468070317059755325e-02
6.317611083984375000e+02,1.428350806236267090e-02
6.315373535156250000e+02,1.425929181277751923e-02
6.313135375976562500e+02,1.472781505435705185e-02
